Country_Name,Year,Index,Arrivals,Receipts,Expenditures,Population,Balance,Arrivals_zscore,Receipts_zscore,Expenditures_zscore,Population_zscore,Balance_zscore
Bahrain,2020,Bahrain-2020,1909000,724000000,3308600000,1472204,-2584600000,-0.3185,-0.3144,-0.1551,-0.3008,-0.4553
Bangladesh,2015,Bangladesh-2015,126000,150300003.05,827000000,159383179,-676699996.95,-0.3916,-0.3427,-0.3118,1.0199,-0.2331
Bangladesh,2016,Bangladesh-2016,182000,214300003.05,843000000,160811932,-628699996.95,-0.3893,-0.3396,-0.3108,1.0318,-0.2275
Bangladesh,2017,Bangladesh-2017,237000,348000000,1127000000,162186147,-779000000,-0.387,-0.3329,-0.2928,1.0433,-0.245
Bangladesh,2018,Bangladesh-2018,267000,357000000,1207000000,163523103,-850000000,-0.3858,-0.3325,-0.2878,1.0545,-0.2532
Bangladesh,2019,Bangladesh-2019,323000,391000000,1389000000,164913055,-998000000,-0.3835,-0.3308,-0.2763,1.0661,-0.2705
Bangladesh,2020,Bangladesh-2020,227000,217899993.9,659000000,166298024,-441100006.1,-0.3874,-0.3394,-0.3224,1.0777,-0.2056
Belarus,2015,Belarus-2015,4386000,1013000000,997000000,9461076,16000000,-0.2171,-0.3001,-0.3011,-0.234,-0.1524
Belarus,2016,Belarus-2016,10935000,1019000000,891000000,9469379,128000000,0.0512,-0.2998,-0.3077,-0.234,-0.1393
Belarus,2017,Belarus-2017,11060000,1124500000,1082000000,9458989,42500000,0.0563,-0.2946,-0.2957,-0.234,-0.1493
Belarus,2018,Belarus-2018,11502000,1221000000,1170000000,9438785,51000000,0.0744,-0.2898,-0.2901,-0.2342,-0.1483
Belarus,2019,Belarus-2019,11832000,1290000000,1224500000,9419758,65500000,0.0879,-0.2864,-0.2867,-0.2344,-0.1466
Belarus,2020,Belarus-2020,3598000,542000000,477000000,9379952,65000000,-0.2494,-0.3234,-0.3339,-0.2347,-0.1467
Belgium,2015,Belgium-2015,8355000,8975000000,15856000000,11274196,-6881000000,-0.0545,0.0931,0.6369,-0.2189,-0.9557
Belgium,2016,Belgium-2016,7481000,8784000000,16522000000,11331422,-7738000000,-0.0903,0.0836,0.6789,-0.2184,-1.0556
Belgium,2017,Belgium-2017,8385000,9636000000,17835000000,11375158,-8199000000,-0.0533,0.1257,0.7618,-0.218,-1.1092
Belgium,2018,Belgium-2018,9119000,10319000000,20789000000,11427054,-10470000000,-0.0232,0.1594,0.9482,-0.2176,-1.3738
Belgium,2019,Belgium-2019,9343000,10581000000,20998000000,11488980,-10417000000,-0.014,0.1724,0.9614,-0.2171,-1.3676
Belgium,2020,Belgium-2020,2584000,7447000000,13928000000,11538604,-6481000000,-0.2909,0.0176,0.5152,-0.2166,-0.9091
Belize,2015,Belize-2015,1299000,0,50000000,356333,-50000000,-0.3435,-0.3501,-0.3608,-0.3102,-0.1601
Belize,2016,Belize-2016,1391000,0,55000000,364705,-55000000,-0.3398,-0.3501,-0.3605,-0.3101,-0.1606
Belize,2017,Belize-2017,1441000,0,53000000,373202,-53000000,-0.3377,-0.3501,-0.3606,-0.31,-0.1604
Belize,2018,Belize-2018,1697000,0,50000000,380226,-50000000,-0.3272,-0.3501,-0.3608,-0.31,-0.1601
Belize,2019,Belize-2019,1674000,0,45400001.53,385829,-45400001.53,-0.3282,-0.3501,-0.3611,-0.3099,-0.1595
Belize,2020,Belize-2020,487000,0,22040000.92,390812,-22040000.92,-0.3768,-0.3501,-0.3626,-0.3099,-0.1568
Benin,2015,Benin-2015,279000,148000000,141000000,11360681,7000000,-0.3853,-0.3428,-0.3551,-0.2181,-0.1534
Benin,2016,Benin-2016,292000,129000000,87000000,11697842,42000000,-0.3848,-0.3438,-0.3585,-0.2153,-0.1494
Benin,2017,Benin-2017,307000,160000000,148000000,12039780,12000000,-0.3842,-0.3422,-0.3546,-0.2125,-0.1528
Benin,2018,Benin-2018,322000,175000000,76000000,12383347,99000000,-0.3835,-0.3415,-0.3592,-0.2096,-0.1427
Benin,2019,Benin-2019,337000,240860000.61,130000000,12726755,110860000.61,-0.3829,-0.3382,-0.3558,-0.2067,-0.1413
Bhutan,2015,Bhutan-2015,155000,120000000,44000000,740618,76000000,-0.3904,-0.3442,-0.3612,-0.307,-0.1454
Bhutan,2016,Bhutan-2016,210000,139000000,52000000,747866,87000000,-0.3881,-0.3433,-0.3607,-0.3069,-0.1441
Bhutan,2017,Bhutan-2017,255000,153000000,63000000,754335,90000000,-0.3863,-0.3426,-0.36,-0.3068,-0.1438
Bhutan,2018,Bhutan-2018,274000,121000000,79000000,759759,42000000,-0.3855,-0.3442,-0.359,-0.3068,-0.1494
Bhutan,2019,Bhutan-2019,316000,120000000,67000000,764824,53000000,-0.3838,-0.3442,-0.3598,-0.3068,-0.1481
Bhutan,2020,Bhutan-2020,29800,84000000,50000000,770006,34000000,-0.3955,-0.346,-0.3608,-0.3067,-0.1503
Bolivia,2015,Bolivia-2015,882000,810000000,849000000,11014705,-39000000,-0.3606,-0.3101,-0.3104,-0.221,-0.1588
Bolivia,2016,Bolivia-2016,961000,827000000,960000000,11180020,-133000000,-0.3574,-0.3093,-0.3034,-0.2196,-0.1697
Bolivia,2017,Bolivia-2017,1109000,928000000,997000000,11344587,-69000000,-0.3513,-0.3043,-0.3011,-0.2183,-0.1623
Bolivia,2018,Bolivia-2018,1142000,948000000,1009000000,11508368,-61000000,-0.35,-0.3033,-0.3003,-0.2169,-0.1613
Bolivia,2019,Bolivia-2019,1239000,977000000,1111000000,11671386,-134000000,-0.346,-0.3019,-0.2939,-0.2155,-0.1699
Bolivia,2020,Bolivia-2020,323299.99,243000000,325000000,11816299,-82000000,-0.3835,-0.3381,-0.3435,-0.2143,-0.1638
Bosnia And Herzegovina,2015,Bosnia And Herzegovina-2015,678000,794000000,278000000,3518541,516000000,-0.369,-0.3109,-0.3464,-0.2837,-0.0941
Bosnia And Herzegovina,2016,Bosnia And Herzegovina-2016,778000,875000000,290000000,3473003,585000000,-0.3649,-0.3069,-0.3457,-0.2841,-0.0861
Bosnia And Herzegovina,2017,Bosnia And Herzegovina-2017,923000,984000000,346000000,3428682,638000000,-0.3589,-0.3015,-0.3421,-0.2845,-0.0799
Bosnia And Herzegovina,2018,Bosnia And Herzegovina-2018,1053000,1147000000,378000000,3387000,769000000,-0.3536,-0.2935,-0.3401,-0.2848,-0.0647
Bosnia And Herzegovina,2019,Bosnia And Herzegovina-2019,1198000,1225000000,393000000,3345533,832000000,-0.3477,-0.2896,-0.3392,-0.2852,-0.0573
Bosnia And Herzegovina,2020,Bosnia And Herzegovina-2020,197000,438000000,163000000,3299349,275000000,-0.3887,-0.3285,-0.3537,-0.2856,-0.1222
Botswana,2015,Botswana-2015,1660000,534299987.79,256399993.9,2203273,277899993.89,-0.3287,-0.3237,-0.3478,-0.2947,-0.1219
Botswana,2016,Botswana-2016,1712000,505000000,237100006.1,2234776,267899993.9,-0.3266,-0.3252,-0.349,-0.2945,-0.123
Botswana,2017,Botswana-2017,1775000,542010009.77,253300003.05,2266747,288710006.72,-0.324,-0.3234,-0.348,-0.2942,-0.1206
Botswana,2018,Botswana-2018,1830000,584200012.21,278299987.79,2299141,305900024.42,-0.3218,-0.3213,-0.3464,-0.2939,-0.1186
Botswana,2019,Botswana-2019,1744250,712400024.41,294700012.21,2332083,417700012.2,-0.3253,-0.315,-0.3454,-0.2936,-0.1056
Botswana,2020,Botswana-2020,1744250,217000000,91800003.05,2365894,125199996.95,-0.3253,-0.3394,-0.3582,-0.2934,-0.1397
Brazil,2015,Brazil-2015,6306000,6254000000,20356000000,201675532,-14102000000,-0.1384,-0.0413,0.9209,1.3736,-1.7968
Brazil,2016,Brazil-2016,6547000,6613000000,17068000000,203218114,-10455000000,-0.1286,-0.0236,0.7134,1.3865,-1.372
Brazil,2017,Brazil-2017,6589000,6175000000,22991000000,204703445,-16816000000,-0.1268,-0.0452,1.0872,1.3989,-2.1129
Brazil,2018,Brazil-2018,6621000,6324000000,22229000000,206107261,-15905000000,-0.1255,-0.0379,1.0391,1.4107,-2.0068
Brazil,2019,Brazil-2019,6353000,6127000000,21178000000,207455459,-15051000000,-0.1365,-0.0476,0.9728,1.422,-1.9074
Brazil,2020,Brazil-2020,6483200,3099000000,6490000000,208660842,-3391000000,-0.1312,-0.1971,0.0457,1.432,-0.5492
Brunei Darussalam,2015,Brunei Darussalam-2015,4364666.67,147000000,459000000,422212,-312000000,-0.2179,-0.3429,-0.335,-0.3096,-0.1906
Brunei Darussalam,2016,Brunei Darussalam-2016,4257000,144000000,499000000,427564,-355000000,-0.2224,-0.343,-0.3325,-0.3096,-0.1956
Brunei Darussalam,2017,Brunei Darussalam-2017,4316000,177000000,504000000,432772,-327000000,-0.2199,-0.3414,-0.3322,-0.3095,-0.1923
Brunei Darussalam,2018,Brunei Darussalam-2018,4521000,190000000,585000000,437810,-395000000,-0.2115,-0.3408,-0.3271,-0.3095,-0.2003
Bulgaria,2015,Bulgaria-2015,9317000,3568000000,1346000000,7177991,2222000000,-0.0151,-0.1739,-0.279,-0.2531,0.1046
Bulgaria,2016,Bulgaria-2016,10604000,4148000000,1636000000,7127822,2512000000,0.0376,-0.1453,-0.2607,-0.2535,0.1384
Bulgaria,2017,Bulgaria-2017,11596000,4663000000,2047000000,7075947,2616000000,0.0783,-0.1199,-0.2348,-0.254,0.1505
Bulgaria,2018,Bulgaria-2018,12368000,5061000000,2247000000,7025037,2814000000,0.1099,-0.1002,-0.2221,-0.2544,0.1735
Bulgaria,2019,Bulgaria-2019,12552000,4832000000,2196000000,6975761,2636000000,0.1174,-0.1115,-0.2254,-0.2548,0.1528
Bulgaria,2020,Bulgaria-2020,4973000,1792000000,1263000000,6934015,529000000,-0.193,-0.2616,-0.2843,-0.2552,-0.0926
Burkina Faso,2015,Burkina Faso-2015,163000,152000000,160000000,18777487,-8000000,-0.3901,-0.3426,-0.3539,-0.1561,-0.1552
Burkina Faso,2016,Burkina Faso-2016,152000,172000000,176000000,19334856,-4000000,-0.3905,-0.3416,-0.3529,-0.1514,-0.1547
Burkina Faso,2017,Burkina Faso-2017,143000,172000000,182000000,19894407,-10000000,-0.3909,-0.3416,-0.3525,-0.1468,-0.1554
Burkina Faso,2018,Burkina Faso-2018,144000,179000000,191000000,20438288,-12000000,-0.3908,-0.3413,-0.3519,-0.1422,-0.1556
Burkina Faso,2019,Burkina Faso-2019,143000,173000000,185199996.95,20961952,-12199996.95,-0.3909,-0.3416,-0.3523,-0.1378,-0.1557
Cabo Verde,2015,Cabo Verde-2015,520000,380000000,109000000,512394,271000000,-0.3754,-0.3314,-0.3571,-0.3089,-0.1227
Cabo Verde,2016,Cabo Verde-2016,598000,397000000,79000000,512554,318000000,-0.3722,-0.3305,-0.359,-0.3089,-0.1172
Cabo Verde,2017,Cabo Verde-2017,668000,451000000,100000000,512893,351000000,-0.3694,-0.3279,-0.3577,-0.3089,-0.1134
Cabo Verde,2018,Cabo Verde-2018,710000,520000000,112000000,513415,408000000,-0.3676,-0.3245,-0.3569,-0.3089,-0.1067
Cabo Verde,2019,Cabo Verde-2019,758000,567000000,107000000,514104,460000000,-0.3657,-0.3221,-0.3572,-0.3089,-0.1007
Cabo Verde,2020,Cabo Verde-2020,180000,169000000,59000000,514679,110000000,-0.3894,-0.3418,-0.3603,-0.3089,-0.1414
Cambodia,2015,Cambodia-2015,4775000,3419000000,641000000,15623251,2778000000,-0.2011,-0.1813,-0.3235,-0.1825,0.1693
Cambodia,2016,Cambodia-2016,5012000,3523000000,762000000,15852803,2761000000,-0.1914,-0.1762,-0.3159,-0.1806,0.1674
Cambodia,2017,Cambodia-2017,5602000,4024000000,919000000,16073372,3105000000,-0.1673,-0.1514,-0.306,-0.1787,0.2074
Cambodia,2018,Cambodia-2018,6201000,4832000000,1080000000,16274522,3752000000,-0.1427,-0.1115,-0.2958,-0.177,0.2828
Cambodia,2019,Cambodia-2019,6611000,5312000000,1162000000,16481304,4150000000,-0.1259,-0.0878,-0.2906,-0.1753,0.3291
Cambodia,2020,Cambodia-2020,1306000,1119000000,213000000,16725474,906000000,-0.3432,-0.2949,-0.3505,-0.1733,-0.0487
Cameroon,2015,Cameroon-2015,897000,476000000,742000000,22763414,-266000000,-0.36,-0.3266,-0.3171,-0.1228,-0.1852
Cameroon,2016,Cameroon-2016,994000,508000000,818000000,23454161,-310000000,-0.356,-0.325,-0.3124,-0.117,-0.1904
Cameroon,2017,Cameroon-2017,1081000,544000000,845000000,24128601,-301000000,-0.3525,-0.3233,-0.3106,-0.1113,-0.1893
Cameroon,2018,Cameroon-2018,997000,633000000,915000000,24806383,-282000000,-0.3559,-0.3189,-0.3062,-0.1057,-0.1871
Cameroon,2019,Cameroon-2019,1021000,681000000,984000000,25506095,-303000000,-0.3549,-0.3165,-0.3019,-0.0998,-0.1895
Cameroon,2020,Cameroon-2020,998000,437000000,697000000,26210558,-260000000,-0.3558,-0.3286,-0.32,-0.0939,-0.1845
Chile,2015,Chile-2015,5487000,3412000000,2518000000,18047625,894000000,-0.172,-0.1816,-0.205,-0.1622,-0.0501
Chile,2016,Chile-2016,6712000,3744000000,2733000000,18267221,1011000000,-0.1218,-0.1653,-0.1915,-0.1604,-0.0365
Chile,2017,Chile-2017,7621000,4115000000,3093000000,18558868,1022000000,-0.0846,-0.1469,-0.1687,-0.1579,-0.0352
Chile,2018,Chile-2018,6603000,3911000000,3124000000,18893191,787000000,-0.1263,-0.157,-0.1668,-0.1551,-0.0626
Chile,2019,Chile-2019,5431000,3279000000,3142000000,19197744,137000000,-0.1743,-0.1882,-0.1657,-0.1526,-0.1383
Chile,2020,Chile-2020,6370800,1034000000,720000000,19370624,314000000,-0.1358,-0.2991,-0.3185,-0.1511,-0.1177
Colombia,2015,Colombia-2015,3371000,5281000000,4890000000,46969940,391000000,-0.2586,-0.0894,-0.0553,0.0797,-0.1087
Colombia,2016,Colombia-2016,3675000,5631000000,4891000000,47437512,740000000,-0.2462,-0.0721,-0.0553,0.0836,-0.068
Colombia,2017,Colombia-2017,4056000,5899000000,5136000000,48131078,763000000,-0.2306,-0.0588,-0.0398,0.0894,-0.0654
Colombia,2018,Colombia-2018,4397000,6655000000,5531000000,49024465,1124000000,-0.2166,-0.0215,-0.0149,0.0969,-0.0233
Colombia,2019,Colombia-2019,4531000,6784000000,5658000000,49907985,1126000000,-0.2111,-0.0151,-0.0068,0.1043,-0.0231
Colombia,2020,Colombia-2020,1396000,1959000000,1576000000,50629997,383000000,-0.3395,-0.2534,-0.2645,0.1103,-0.1096
Comoros,2015,Comoros-2015,23600,51599998.47,34000000,726682,17599998.47,-0.3958,-0.3476,-0.3618,-0.3071,-0.1522
Comoros,2016,Comoros-2016,26800,50500000,38000000,741741,12500000,-0.3956,-0.3476,-0.3616,-0.307,-0.1528
Comoros,2017,Comoros-2017,28000,60599998.47,42000000,756669,18599998.47,-0.3956,-0.3471,-0.3613,-0.3068,-0.1521
Comoros,2018,Comoros-2018,35900,73699996.95,48000000,771590,25699996.95,-0.3953,-0.3465,-0.361,-0.3067,-0.1512
Comoros,2019,Comoros-2019,45100,72699996.95,53000000,786578,19699996.95,-0.3949,-0.3465,-0.3606,-0.3066,-0.1519
Comoros,2020,Comoros-2020,7000,18500000,43000000,802163,-24500000,-0.3964,-0.3492,-0.3613,-0.3064,-0.1571
"Congo, Dem. Rep.",2015,"Congo, Dem. Rep.-2015",354000,100000,127000000,81035531,-126900000,-0.3822,-0.3501,-0.356,0.3646,-0.169
"Congo, Dem. Rep.",2016,"Congo, Dem. Rep.-2016",351000,4300000,60000000,83956415,-55700000,-0.3824,-0.3499,-0.3602,0.389,-0.1607
"Congo, Dem. Rep.",2017,"Congo, Dem. Rep.-2017",352500,6000000,68000000,87083398,-62000000,-0.3823,-0.3498,-0.3597,0.4152,-0.1615
"Congo, Dem. Rep.",2018,"Congo, Dem. Rep.-2018",352500,60500000,115000000,90047644,-54500000,-0.3823,-0.3471,-0.3567,0.44,-0.1606
Costa Rica,2015,Costa Rica-2015,2899000,3408000000,898000000,4818038,2510000000,-0.278,-0.1818,-0.3073,-0.2729,0.1381
Costa Rica,2016,Costa Rica-2016,3204000,3776000000,1055000000,4866998,2721000000,-0.2655,-0.1637,-0.2974,-0.2724,0.1627
Costa Rica,2017,Costa Rica-2017,3231000,3758000000,1322000000,4913177,2436000000,-0.2644,-0.1646,-0.2805,-0.2721,0.1295
Costa Rica,2018,Costa Rica-2018,3313000,4073000000,1198000000,4957818,2875000000,-0.261,-0.149,-0.2884,-0.2717,0.1806
Costa Rica,2019,Costa Rica-2019,3366000,4282000000,1330000000,4999553,2952000000,-0.2589,-0.1387,-0.28,-0.2713,0.1896
Costa Rica,2020,Costa Rica-2020,1146500,1479000000,697000000,5034320,782000000,-0.3498,-0.2771,-0.32,-0.271,-0.0632
Cote D'Ivoire,2015,Cote D'Ivoire-2015,1441000,214000000,560000000,25246342,-346000000,-0.3377,-0.3396,-0.3286,-0.102,-0.1945
Cote D'Ivoire,2016,Cote D'Ivoire-2016,1583000,477000000,491000000,25989405,-14000000,-0.3319,-0.3266,-0.333,-0.0958,-0.1559
Cote D'Ivoire,2017,Cote D'Ivoire-2017,1800000,509000000,564000000,26733372,-55000000,-0.323,-0.325,-0.3284,-0.0896,-0.1606
Cote D'Ivoire,2018,Cote D'Ivoire-2018,1965000,551000000,625000000,27464173,-74000000,-0.3162,-0.3229,-0.3245,-0.0835,-0.1629
Cote D'Ivoire,2019,Cote D'Ivoire-2019,2070000,550500000,702000000,28193009,-151500000,-0.3119,-0.3229,-0.3197,-0.0774,-0.1719
Cote D'Ivoire,2020,Cote D'Ivoire-2020,668000,199300003.05,315000000,28915449,-115699996.95,-0.3694,-0.3403,-0.3441,-0.0713,-0.1677
